类别：所有类别,
,
周,crude oil: (全球)
2004/1/4,19
2004/1/11,31
2004/1/18,34
2004/1/25,31
2004/2/1,31
2004/2/8,36
2004/2/15,27
2004/2/22,27
2004/2/29,44
2004/3/7,37
2004/3/14,48
2004/3/21,26
2004/3/28,47
2004/4/4,28
2004/4/11,31
2004/4/18,40
2004/4/25,37
2004/5/2,33
2004/5/9,50
2004/5/16,68
2004/5/23,44
2004/5/30,72
2004/6/6,39
2004/6/13,41
2004/6/20,36
2004/6/27,28
2004/7/4,34
2004/7/11,30
2004/7/18,26
2004/7/25,34
2004/8/1,58
2004/8/8,46
2004/8/15,66
2004/8/22,72
2004/8/29,44
2004/9/5,44
2004/9/12,50
2004/9/19,31
2004/9/26,62
2004/10/3,51
2004/10/10,67
2004/10/17,50
2004/10/24,57
2004/10/31,59
2004/11/7,49
2004/11/14,51
2004/11/21,41
2004/11/28,52
2004/12/5,48
2004/12/12,44
2004/12/19,25
2004/12/26,19
2005/1/2,30
2005/1/9,38
2005/1/16,40
2005/1/23,28
2005/1/30,36
2005/2/6,38
2005/2/13,30
2005/2/20,51
2005/2/27,52
2005/3/6,67
2005/3/13,56
2005/3/20,54
2005/3/27,46
2005/4/3,52
2005/4/10,48
2005/4/17,47
2005/4/24,48
2005/5/1,52
2005/5/8,46
2005/5/15,44
2005/5/22,39
2005/5/29,41
2005/6/5,37
2005/6/12,42
2005/6/19,61
2005/6/26,62
2005/7/3,47
2005/7/10,48
2005/7/17,49
2005/7/24,48
2005/7/31,43
2005/8/7,65
2005/8/14,85
2005/8/21,53
2005/8/28,100
2005/9/4,74
2005/9/11,68
2005/9/18,71
2005/9/25,65
2005/10/2,60
2005/10/9,53
2005/10/16,52
2005/10/23,42
2005/10/30,54
2005/11/6,41
2005/11/13,53
2005/11/20,42
2005/11/27,47
2005/12/4,47
2005/12/11,41
2005/12/18,26
2005/12/25,35
