date,sentiment,wti
2018/2/20,1.21967,-0.42876
2018/2/21,0.86872,-0.56539
2018/2/22,0.38017,0.11155
2018/2/23,1.98881,0.59596
2018/2/26,2.47211,0.81954
2018/2/27,-0.03791,0.2606
2018/2/28,-1.77245,-0.59023
2018/3/1,-1.35297,-0.99391
2018/3/2,-0.01473,-0.83244
2018/3/5,-0.56989,-0.01266
2018/3/6,-0.58378,0.00597
2018/3/7,-0.00711,-0.89454
2018/3/8,-0.5974,-1.53422
2018/3/9,-0.79481,-0.34181
2018/3/12,-0.23575,-0.76412
2018/3/13,0.31268,-1.1678
2018/3/14,-0.01932,-1.01254
2018/3/15,0.18965,-0.8697
2018/3/16,-0.11742,-0.1555
2018/3/19,0.96097,-0.32939
2018/3/20,-1.4238,0.50281
2018/3/21,-1.33948,1.60205
2018/3/22,-0.70924,1.06175
2018/3/23,0.3919,2.04299
2018/3/26,0.41123,1.83805
2018/3/27,0.38017,1.65174
